,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
24964,2002-06-12,Nigeria,England,0,0,FIFA World Cup,Osaka,Japan,True,Draw
24966,2002-06-12,South Africa,Spain,2,3,FIFA World Cup,Daejeon,South Korea,True,Spain
24970,2002-06-13,Mexico,Italy,1,1,FIFA World Cup,Ōita,Japan,True,Draw
24972,2002-06-14,Belgium,Russia,3,2,FIFA World Cup,Fukuroi,Japan,True,Belgium
24974,2002-06-14,South Korea,Portugal,1,0,FIFA World Cup,Incheon,South Korea,False,South Korea
24976,2002-06-15,Denmark,England,0,3,FIFA World Cup,Niigata,Japan,True,England
24977,2002-06-15,Germany,Paraguay,1,0,FIFA World Cup,Seogwipo,South Korea,True,Germany
24978,2002-06-16,Spain,Republic of Ireland,1,1,FIFA World Cup,Suwon,South Korea,True,Draw
24980,2002-06-17,Brazil,Belgium,2,0,FIFA World Cup,Kobe,Japan,True,Brazil
24983,2002-06-18,South Korea,Italy,2,1,FIFA World Cup,Daejeon,South Korea,False,South Korea
24984,2002-06-21,England,Brazil,1,2,FIFA World Cup,Fukuroi,Japan,True,Brazil
24985,2002-06-21,Germany,United States,1,0,FIFA World Cup,Ulsan,South Korea,True,Germany
24987,2002-06-22,South Korea,Spain,0,0,FIFA World Cup,Gwangju,South Korea,False,Draw
24990,2002-06-25,South Korea,Germany,0,1,FIFA World Cup,Seoul,South Korea,False,Germany
24995,2002-06-30,Germany,Brazil,0,2,FIFA World Cup,Yokohama,Japan,True,Brazil
25060,2002-08-21,Bulgaria,Germany,2,2,Friendly,Sofia,Bulgaria,False,Draw
25066,2002-08-21,Hungary,Spain,1,1,Friendly,Budapest,Hungary,False,Draw
25068,2002-08-21,Italy,Slovenia,0,1,Friendly,Trieste,Italy,False,Slovenia
25075,2002-08-21,Norway,Netherlands,0,1,Friendly,Oslo,Norway,False,Netherlands
25076,2002-08-21,Poland,Belgium,1,1,Friendly,Szczecin,Poland,False,Draw
25077,2002-08-21,Romania,Greece,0,1,Friendly,Constanţa,Romania,False,Greece
25079,2002-08-21,Scotland,Denmark,0,1,Friendly,Glasgow,Scotland,False,Denmark
25081,2002-08-21,Tunisia,France,1,1,Friendly,Radès,Tunisia,False,Draw
25114,2002-09-07,Azerbaijan,Italy,0,2,UEFA Euro qualification,Baku,Azerbaijan,False,Italy
25115,2002-09-07,Belgium,Bulgaria,0,2,UEFA Euro qualification,Brussels,Belgium,False,Bulgaria
25119,2002-09-07,Cyprus,France,1,2,UEFA Euro qualification,Nicosia,Cyprus,False,France
25120,2002-09-07,England,Portugal,1,1,Friendly,Birmingham,England,False,Draw
25121,2002-09-07,Faroe Islands,Scotland,2,2,UEFA Euro qualification,Toftir,Faroe Islands,False,Draw
25124,2002-09-07,Greece,Spain,0,2,UEFA Euro qualification,Athens,Greece,False,Spain
25130,2002-09-07,Lithuania,Germany,0,2,UEFA Euro qualification,Kaunas,Lithuania,False,Germany
25132,2002-09-07,Netherlands,Belarus,3,0,UEFA Euro qualification,Eindhoven,Netherlands,False,Netherlands
25172,2002-10-11,Bosnia and Herzegovina,Germany,1,1,Friendly,Sarajevo,Bosnia and Herzegovina,False,Draw
25174,2002-10-12,Andorra,Belgium,0,1,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False,Belgium
25180,2002-10-12,France,Slovenia,5,0,UEFA Euro qualification,Saint-Denis,France,False,France
25181,2002-10-12,Iceland,Scotland,0,2,UEFA Euro qualification,Reykjavík,Iceland,False,Scotland
25182,2002-10-12,Italy,Serbia,1,1,UEFA Euro qualification,Naples,Italy,False,Draw
25190,2002-10-12,Portugal,Tunisia,1,1,Friendly,Lisbon,Portugal,False,Draw
25194,2002-10-12,Slovakia,England,1,2,UEFA Euro qualification,Bratislava,Slovakia,False,England
25195,2002-10-12,Spain,Northern Ireland,3,0,UEFA Euro qualification,Albacete,Spain,False,Spain
25198,2002-10-12,Ukraine,Greece,2,0,UEFA Euro qualification,Kyiv,Ukraine,False,Ukraine
25208,2002-10-15,Scotland,Canada,3,1,Friendly,Edinburgh,Scotland,False,Scotland
25209,2002-10-16,Austria,Netherlands,0,3,UEFA Euro qualification,Vienna,Austria,False,Netherlands
25213,2002-10-16,England,North Macedonia,2,2,UEFA Euro qualification,Southampton,England,False,Draw
25214,2002-10-16,Estonia,Belgium,0,1,UEFA Euro qualification,Tallinn,Estonia,False,Belgium
25215,2002-10-16,Germany,Faroe Islands,2,1,UEFA Euro qualification,Hanover,Germany,False,Germany
25216,2002-10-16,Greece,Armenia,2,0,UEFA Euro qualification,Athens,Greece,False,Greece
25222,2002-10-16,Malta,France,0,4,UEFA Euro qualification,Attard,Malta,False,France
25228,2002-10-16,Spain,Paraguay,0,0,Friendly,Logroño,Spain,False,Draw
25229,2002-10-16,Sweden,Portugal,2,3,Friendly,Gothenburg,Sweden,False,Portugal
25231,2002-10-16,Wales,Italy,2,1,UEFA Euro qualification,Cardiff,Wales,False,Wales
25266,2002-11-20,France,Serbia,3,0,Friendly,Saint-Denis,France,False,France
25267,2002-11-20,Germany,Netherlands,1,3,Friendly,Gelsenkirchen,Germany,False,Netherlands
25268,2002-11-20,Greece,Republic of Ireland,0,0,Friendly,Athens,Greece,False,Draw
25271,2002-11-20,Italy,Turkey,1,1,Friendly,Pescara,Italy,False,Draw
25278,2002-11-20,Portugal,Scotland,2,0,Friendly,Braga,Portugal,False,Portugal
25283,2002-11-20,Spain,Bulgaria,1,0,Friendly,Granada,Spain,False,Spain
25408,2003-01-29,Cyprus,Greece,1,2,Friendly,Larnaca,Cyprus,False,Greece
25421,2003-02-12,Algeria,Belgium,1,3,Friendly,Annaba,Algeria,False,Belgium
25429,2003-02-12,England,Australia,1,3,Friendly,London,England,False,Australia
25430,2003-02-12,France,Czech Republic,0,2,Friendly,Saint-Denis,France,False,Czech Republic
25432,2003-02-12,Greece,Norway,1,0,Friendly,Heraklion,Greece,False,Greece
25435,2003-02-12,Italy,Portugal,1,0,Friendly,Genoa,Italy,False,Italy
25442,2003-02-12,Netherlands,Argentina,1,0,Friendly,Amsterdam,Netherlands,False,Netherlands
25445,2003-02-12,Scotland,Republic of Ireland,0,2,Friendly,Glasgow,Scotland,False,Republic of Ireland
25448,2003-02-12,Spain,Germany,3,1,Friendly,Palma de Mallorca,Spain,False,Spain
25528,2003-03-26,Austria,Greece,2,2,Friendly,Graz,Austria,False,Draw
25551,2003-03-29,Croatia,Belgium,4,0,UEFA Euro qualification,Zagreb,Croatia,False,Croatia
25554,2003-03-29,France,Malta,6,0,UEFA Euro qualification,Lens,France,False,France
25557,2003-03-29,Germany,Lithuania,1,1,UEFA Euro qualification,Nuremberg,Germany,False,Draw
25558,2003-03-29,Italy,Finland,2,0,UEFA Euro qualification,Palermo,Italy,False,Italy
25561,2003-03-29,Liechtenstein,England,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,False,England
25565,2003-03-29,Netherlands,Czech Republic,1,1,UEFA Euro qualification,Rotterdam,Netherlands,False,Draw
25567,2003-03-29,Portugal,Brazil,2,1,Friendly,Porto,Portugal,False,Portugal
25570,2003-03-29,Scotland,Iceland,2,1,UEFA Euro qualification,Glasgow,Scotland,False,Scotland
25575,2003-03-29,Ukraine,Spain,2,2,UEFA Euro qualification,Kyiv,Ukraine,False,Draw
25602,2003-04-02,England,Turkey,2,0,UEFA Euro qualification,Sunderland,England,False,England
25607,2003-04-02,Israel,France,1,2,UEFA Euro qualification,Palermo,Italy,True,France
25608,2003-04-02,Lithuania,Scotland,1,0,UEFA Euro qualification,Kaunas,Lithuania,False,Lithuania
25610,2003-04-02,North Macedonia,Portugal,0,1,Friendly,Lausanne,Switzerland,True,Portugal
25611,2003-04-02,Moldova,Netherlands,1,2,UEFA Euro qualification,Tiraspol,Moldova,False,Netherlands
25612,2003-04-02,Northern Ireland,Greece,0,2,UEFA Euro qualification,Belfast,Northern Ireland,False,Greece
25617,2003-04-02,Spain,Armenia,3,0,UEFA Euro qualification,León,Spain,False,Spain
25633,2003-04-30,Belgium,Poland,3,1,Friendly,Brussels,Belgium,False,Belgium
25639,2003-04-30,France,Egypt,5,0,Friendly,Saint-Denis,France,False,France
25641,2003-04-30,Germany,Serbia,1,0,Friendly,Bremen,Germany,False,Germany
25653,2003-04-30,Netherlands,Portugal,1,1,Friendly,Eindhoven,Netherlands,False,Draw
25655,2003-04-30,Scotland,Austria,0,2,Friendly,Glasgow,Scotland,False,Austria
25656,2003-04-30,Slovakia,Greece,2,2,Friendly,Žilina,Slovakia,False,Draw
25658,2003-04-30,Spain,Ecuador,4,0,Friendly,Madrid,Spain,False,Spain
25660,2003-04-30,Switzerland,Italy,1,2,Friendly,Geneva,Switzerland,False,Italy
25674,2003-05-22,South Africa,England,1,2,Friendly,Durban,South Africa,False,England
25681,2003-05-27,Scotland,New Zealand,1,1,Friendly,Edinburgh,Scotland,False,Draw
25690,2003-06-01,Germany,Canada,4,1,Friendly,Wolfsburg,Germany,False,Germany
25691,2003-06-03,England,Serbia,2,1,Friendly,Leicester,England,False,England
25693,2003-06-03,Italy,Northern Ireland,2,0,Friendly,Campobasso,Italy,False,Italy
25697,2003-06-06,Portugal,Paraguay,0,0,Friendly,Braga,Portugal,False,Draw
25698,2003-06-07,Belarus,Netherlands,0,2,UEFA Euro qualification,Minsk,Belarus,False,Netherlands
25700,2003-06-07,Bulgaria,Belgium,2,2,UEFA Euro qualification,Sofia,Bulgaria,False,Draw
25718,2003-06-07,Scotland,Germany,1,1,UEFA Euro qualification,Glasgow,Scotland,False,Draw
25722,2003-06-07,Spain,Greece,0,1,UEFA Euro qualification,Zaragoza,Spain,False,Greece
25743,2003-06-10,Portugal,Bolivia,4,0,Friendly,Oeiras,Portugal,False,Portugal
25746,2003-06-11,Belgium,Andorra,3,0,UEFA Euro qualification,Ghent,Belgium,False,Belgium
