,date,home_team,away_team,home_score,away_score,tournament,neutral,winner,GD,home_team_curr_form,away_team_curr_form,home_team_home_form,home_rank,away_rank,rank_diff
142,2001-06-06,San Marino,Belgium,1,4,FIFA World Cup qualification,False,Belgium,3,0,11,0,158,20,138
143,2001-06-07,France,Brazil,2,1,Confederations Cup,True,France,1,12,6,15,1,3,2
144,2001-06-10,Japan,France,0,1,Confederations Cup,False,France,1,2,12,2,34,1,33
145,2001-08-15,England,Netherlands,0,2,Friendly,False,Netherlands,2,12,13,9,10,8,2
146,2001-08-15,Finland,Belgium,4,1,Friendly,False,Finland,3,5,8,5,46,20,26
147,2001-08-15,France,Denmark,1,0,Friendly,False,France,1,12,4,15,1,18,17
148,2001-08-15,Hungary,Germany,2,5,Friendly,False,Germany,3,2,13,2,66,12,54
149,2001-08-15,Portugal,Moldova,3,0,Friendly,False,Portugal,3,8,0,13,4,103,99
150,2001-08-15,Russia,Greece,0,0,Friendly,False,Draw,0,5,5,5,21,57,36
151,2001-09-01,Andorra,Portugal,1,7,FIFA World Cup qualification,True,Portugal,6,0,10,0,140,4,136
152,2001-09-01,Chile,France,2,1,Friendly,False,Chile,1,7,12,3,39,1,38
153,2001-09-01,Germany,England,1,5,FIFA World Cup qualification,False,England,4,10,12,12,12,10,2
154,2001-09-01,Republic of Ireland,Netherlands,1,0,FIFA World Cup qualification,False,Republic of Ireland,1,6,10,5,17,8,9
155,2001-09-01,Lithuania,Italy,0,0,FIFA World Cup qualification,False,Draw,0,2,13,5,97,6,91
156,2001-09-01,Scotland,Croatia,0,0,FIFA World Cup qualification,False,Draw,0,6,4,5,50,19,31
157,2001-09-01,Spain,Austria,4,0,FIFA World Cup qualification,False,Spain,4,13,1,15,7,56,49
158,2001-09-05,Belgium,Scotland,2,0,FIFA World Cup qualification,False,Belgium,2,10,6,10,20,50,30
159,2001-09-05,Cyprus,Portugal,1,3,FIFA World Cup qualification,False,Portugal,2,0,13,3,79,4,75
160,2001-09-05,England,Albania,2,0,FIFA World Cup qualification,False,England,2,12,0,12,10,96,86
161,2001-09-05,Finland,Greece,5,1,FIFA World Cup qualification,False,Finland,4,8,5,8,46,57,11
162,2001-09-05,Italy,Morocco,1,0,Friendly,False,Italy,1,13,3,12,6,36,30
163,2001-09-05,Liechtenstein,Spain,0,2,FIFA World Cup qualification,False,Spain,2,0,13,0,150,7,143
164,2001-09-05,Netherlands,Estonia,5,0,FIFA World Cup qualification,False,Netherlands,5,12,2,8,8,83,75
165,2001-10-06,Croatia,Belgium,1,0,FIFA World Cup qualification,False,Croatia,1,7,9,6,19,20,1
166,2001-10-06,England,Greece,2,2,FIFA World Cup qualification,False,Draw,0,10,5,10,10,57,47
167,2001-10-06,France,Algeria,4,1,Friendly,False,France,3,12,0,15,1,75,74
168,2001-10-06,Germany,Finland,0,0,FIFA World Cup qualification,False,Draw,0,8,8,10,12,46,34
169,2001-10-06,Italy,Hungary,1,0,FIFA World Cup qualification,False,Italy,1,13,2,12,6,66,60
170,2001-10-06,Netherlands,Andorra,4,0,FIFA World Cup qualification,False,Netherlands,4,12,0,10,8,140,132
171,2001-10-06,Portugal,Estonia,5,0,FIFA World Cup qualification,False,Portugal,5,15,1,13,4,83,79
172,2001-10-06,Scotland,Latvia,2,1,FIFA World Cup qualification,False,Scotland,1,8,3,8,50,106,56
173,2001-11-07,Japan,Italy,1,1,Friendly,False,Draw,0,2,11,3,34,6,28
174,2001-11-10,Belgium,Czech Republic,1,0,FIFA World Cup qualification,False,Belgium,1,9,1,13,20,14,6
175,2001-11-10,Denmark,Netherlands,1,1,Friendly,False,Draw,0,4,10,6,18,8,10
176,2001-11-10,England,Sweden,1,1,Friendly,False,Draw,0,8,2,8,10,16,6
177,2001-11-10,Greece,Estonia,4,2,Friendly,False,Greece,2,5,0,7,57,83,26
178,2001-11-10,Ukraine,Germany,1,1,FIFA World Cup qualification,False,Draw,0,4,8,6,45,12,33
179,2001-11-11,Australia,France,1,1,Friendly,False,Draw,0,7,10,4,48,1,47
180,2001-11-14,Czech Republic,Belgium,0,1,FIFA World Cup qualification,False,Belgium,1,1,9,5,14,20,6
181,2001-11-14,Germany,Ukraine,4,1,FIFA World Cup qualification,False,Germany,3,8,3,10,12,45,33
182,2001-11-14,Greece,Cyprus,1,2,Friendly,False,Cyprus,1,5,3,6,57,79,22
183,2001-11-14,Portugal,Angola,5,1,Friendly,False,Portugal,4,15,0,13,4,55,51
184,2001-11-14,Spain,Mexico,1,0,Friendly,False,Spain,1,13,1,15,7,9,2
185,2002-02-13,Belgium,Norway,1,0,Friendly,False,Belgium,1,12,6,15,17,26,9
186,2002-02-13,France,Romania,2,1,Friendly,False,France,1,10,3,15,2,24,22
187,2002-02-13,Germany,Israel,7,1,Friendly,False,Germany,6,8,1,10,4,46,42
188,2002-02-13,Greece,Sweden,2,2,Friendly,False,Draw,0,5,3,7,48,25,23
189,2002-02-13,Italy,United States,1,0,Friendly,False,Italy,1,11,7,15,13,10,3
190,2002-02-13,Netherlands,England,1,1,Friendly,False,Draw,0,8,9,11,6,7,1
191,2002-02-13,Spain,Portugal,1,1,Friendly,False,Draw,0,11,13,13,3,11,8
192,2002-03-27,England,Italy,1,2,Friendly,False,Italy,1,6,13,5,7,13,6
193,2002-03-27,France,Scotland,5,0,Friendly,False,France,5,10,5,15,2,59,57
194,2002-03-27,Germany,United States,4,2,Friendly,False,Germany,2,11,6,10,4,10,6
195,2002-03-27,Netherlands,Spain,1,0,Friendly,False,Netherlands,1,11,10,13,6,3,3
196,2002-03-27,Portugal,Finland,1,4,Friendly,False,Finland,3,10,11,12,11,43,32
197,2002-04-17,Belgium,Slovakia,1,1,Friendly,False,Draw,0,10,4,13,17,55,38
198,2002-04-17,England,Paraguay,4,0,Friendly,False,England,4,6,1,8,7,18,11
199,2002-04-17,France,Russia,0,0,Friendly,False,Draw,0,11,6,13,2,23,21
200,2002-04-17,Germany,Argentina,0,1,Friendly,False,Argentina,1,10,11,10,4,5,1
201,2002-04-17,Greece,Czech Republic,0,0,Friendly,False,Draw,0,6,2,5,48,15,33
202,2002-04-17,Italy,Uruguay,1,1,Friendly,False,Draw,0,11,3,13,13,28,15
203,2002-04-17,Northern Ireland,Spain,0,5,Friendly,False,Spain,5,0,10,1,103,3,100
204,2002-04-17,Portugal,Brazil,1,1,Friendly,False,Draw,0,8,4,10,11,1,10
205,2002-04-17,Scotland,Nigeria,1,2,Friendly,False,Nigeria,1,4,6,8,59,29,30
206,2002-05-09,Germany,Kuwait,7,0,Friendly,False,Germany,7,12,0,12,4,83,79
207,2002-05-14,Belgium,Algeria,0,0,Friendly,False,Draw,0,11,1,11,17,68,51
208,2002-05-14,Wales,Germany,1,0,Friendly,False,Wales,1,3,9,3,52,4,48
209,2002-05-15,Greece,Cyprus,3,1,Friendly,False,Greece,2,8,3,8,48,80,32
210,2002-05-16,South Korea,Scotland,4,1,Friendly,False,South Korea,3,4,3,3,20,59,39
211,2002-05-18,Czech Republic,Italy,1,0,Friendly,False,Czech Republic,1,5,8,7,15,13,2
212,2002-05-18,France,Belgium,1,2,Friendly,False,Belgium,1,8,11,10,2,17,15
213,2002-05-18,Germany,Austria,6,2,Friendly,False,Germany,4,9,1,12,4,54,50
214,2002-05-19,United States,Netherlands,0,2,Friendly,False,Netherlands,2,6,11,7,10,6,4
215,2002-05-20,Scotland,South Africa,0,2,Friendly,True,South Africa,2,3,4,7,59,30,29
216,2002-05-21,South Korea,England,1,1,Friendly,False,Draw,0,5,6,4,20,7,13
217,2002-05-25,China PR,Portugal,0,2,Friendly,True,Portugal,2,0,8,0,63,11,52
218,2002-05-26,Belgium,Costa Rica,1,0,Friendly,True,Belgium,1,11,3,11,17,21,4
219,2002-05-26,Cameroon,England,2,2,Friendly,True,Draw,0,3,6,1,16,7,9
220,2002-05-26,South Korea,France,2,3,Friendly,False,France,1,4,10,4,20,2,18
221,2002-05-31,France,Senegal,0,1,FIFA World Cup,True,Senegal,1,7,3,7,2,27,25
222,2002-06-01,Germany,Saudi Arabia,8,0,FIFA World Cup,True,Germany,8,9,4,12,4,38,34
223,2002-06-02,England,Sweden,1,1,FIFA World Cup,True,Draw,0,6,3,6,7,25,18
224,2002-06-02,Spain,Slovenia,3,1,FIFA World Cup,True,Spain,2,10,1,13,3,36,33
225,2002-06-03,Italy,Ecuador,2,0,FIFA World Cup,True,Italy,2,10,0,13,13,31,18
226,2002-06-04,Japan,Belgium,2,2,FIFA World Cup,False,Draw,0,2,9,4,22,17,5
227,2002-06-05,Germany,Republic of Ireland,1,1,FIFA World Cup,True,Draw,0,10,7,10,4,14,10
228,2002-06-05,United States,Portugal,3,2,FIFA World Cup,True,United States,1,6,5,10,10,11,1
229,2002-06-06,France,Uruguay,0,0,FIFA World Cup,True,Draw,0,5,4,5,2,28,26
230,2002-06-07,Argentina,England,0,1,FIFA World Cup,True,England,1,10,9,9,5,7,2
231,2002-06-07,Spain,Paraguay,3,1,FIFA World Cup,True,Spain,2,10,1,13,3,18,15
232,2002-06-08,Italy,Croatia,1,2,FIFA World Cup,True,Croatia,1,7,9,10,13,32,19
233,2002-06-10,Portugal,Poland,4,0,FIFA World Cup,True,Portugal,4,7,1,10,11,34,23
234,2002-06-10,Tunisia,Belgium,1,1,FIFA World Cup,True,Draw,0,6,9,7,41,17,24
235,2002-06-11,Cameroon,Germany,0,2,FIFA World Cup,True,Germany,2,3,10,1,16,4,12
236,2002-06-11,Denmark,France,2,0,FIFA World Cup,True,Denmark,2,7,4,9,12,2,10
237,2002-06-12,Nigeria,England,0,0,FIFA World Cup,True,Draw,0,7,7,1,29,7,22
238,2002-06-12,South Africa,Spain,2,3,FIFA World Cup,True,Spain,1,4,12,2,30,3,27
239,2002-06-13,Mexico,Italy,1,1,FIFA World Cup,True,Draw,0,1,5,2,8,13,5
240,2002-06-14,Belgium,Russia,3,2,FIFA World Cup,True,Belgium,1,11,6,11,17,23,6
241,2002-06-14,South Korea,Portugal,1,0,FIFA World Cup,False,South Korea,1,7,7,7,20,11,9
242,2002-06-15,Denmark,England,0,3,FIFA World Cup,True,England,3,7,9,8,12,7,5
243,2002-06-15,Germany,Paraguay,1,0,FIFA World Cup,True,Germany,1,13,1,13,4,18,14
244,2002-06-16,Spain,Republic of Ireland,1,1,FIFA World Cup,True,Spain,0,15,6,13,3,14,11
245,2002-06-17,Brazil,Belgium,2,0,FIFA World Cup,True,Brazil,2,6,8,13,1,17,16
246,2002-06-18,South Korea,Italy,2,1,FIFA World Cup,False,South Korea,1,10,4,10,20,13,7
247,2002-06-21,England,Brazil,1,2,FIFA World Cup,True,Brazil,1,8,8,5,7,1,6
248,2002-06-21,Germany,United States,1,0,FIFA World Cup,True,Germany,1,13,3,13,4,10,6
249,2002-06-22,South Korea,Spain,0,0,FIFA World Cup,False,South Korea,0,10,12,10,20,3,17
250,2002-06-25,South Korea,Germany,0,1,FIFA World Cup,False,Germany,1,9,13,9,20,4,16
251,2002-06-30,Germany,Brazil,0,2,FIFA World Cup,True,Brazil,2,12,10,10,4,1,3
252,2002-08-21,Bulgaria,Germany,2,2,Friendly,False,Draw,0,5,10,5,42,4,38
253,2002-08-21,Hungary,Spain,1,1,Friendly,False,Draw,0,2,10,3,56,3,53
254,2002-08-21,Italy,Slovenia,0,1,Friendly,False,Slovenia,1,4,3,7,13,36,23
255,2002-08-21,Norway,Netherlands,0,1,Friendly,False,Netherlands,1,6,11,6,26,6,20
256,2002-08-21,Poland,Belgium,1,1,Friendly,False,Draw,0,2,6,3,34,17,17
257,2002-08-21,Romania,Greece,0,1,Friendly,False,Greece,1,0,8,4,24,48,24
258,2002-08-21,Scotland,Denmark,0,1,Friendly,False,Denmark,1,0,7,4,59,12,47
259,2002-08-21,Tunisia,France,1,1,Friendly,False,Draw,0,4,5,7,41,2,39
260,2002-09-07,Azerbaijan,Italy,0,2,UEFA Euro qualification,False,Italy,2,0,4,0,113,13,100
261,2002-09-07,Belgium,Bulgaria,0,2,UEFA Euro qualification,False,Bulgaria,2,5,5,8,17,42,25
262,2002-09-07,Cyprus,France,1,2,UEFA Euro qualification,False,France,1,3,5,3,80,2,78
263,2002-09-07,England,Portugal,1,1,Friendly,False,Draw,0,8,7,5,7,11,4
264,2002-09-07,Faroe Islands,Scotland,2,2,UEFA Euro qualification,False,Draw,0,2,1,2,114,59,55
265,2002-09-07,Greece,Spain,0,2,UEFA Euro qualification,False,Spain,2,8,10,5,48,3,45
266,2002-09-07,Lithuania,Germany,0,2,UEFA Euro qualification,False,Germany,2,1,10,5,100,4,96
267,2002-09-07,Netherlands,Belarus,3,0,UEFA Euro qualification,False,Netherlands,3,13,2,13,6,74,68
268,2002-10-11,Bosnia and Herzegovina,Germany,1,1,Friendly,False,Draw,0,1,8,4,87,4,83
269,2002-10-12,Andorra,Belgium,0,1,UEFA Euro qualification,False,Belgium,1,0,7,0,137,17,120
270,2002-10-12,France,Slovenia,5,0,UEFA Euro qualification,False,France,5,8,3,5,2,36,34
271,2002-10-12,Iceland,Scotland,0,2,UEFA Euro qualification,False,Scotland,2,1,4,4,58,59,1
272,2002-10-12,Italy,Serbia,1,1,UEFA Euro qualification,False,Draw,0,5,2,5,13,201,188
